AccidentNumber,AccidentDate,Injury,Fatality,PropertyDamage,HitAndRun,CollisionType,Weather,Illumination,Precinct
20220002505,1/2/2022,FALSE,FALSE,FALSE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,SNOW,DARK - LIGHTED,HERMIT
20220002536,1/3/2022,FALSE,FALSE,FALSE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,SNOW,DARK - LIGHTED,EAST
20220002539,1/3/2022,FALSE,FALSE,TRUE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,SNOW,DARK - LIGHTED,HERMIT
20220002577,1/3/2022,FALSE,FALSE,FALSE,FALSE,ANGLE,SNOW,DARK - NOT LIGHTED,HERMIT
20220002599,1/3/2022,FALSE,FALSE,FALSE,TRUE,SIDESWIPE - SAME DIRECTION,CLEAR,DARK - LIGHTED,EAST
20220002651,1/3/2022,TRUE,FALSE,FALSE,TRUE,SIDESWIPE - SAME DIRECTION,CLEAR,DARK - LIGHTED,MADISO
20220002657,1/3/2022,FALSE,FALSE,FALSE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,SNOW,DARK - LIGHTED,MIDTOW
20220002661,1/3/2022,FALSE,FALSE,FALSE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,SNOW,DARK - LIGHTED,SOUTH
20220002697,1/3/2022,FALSE,FALSE,FALSE,FALSE,Rear to Side,SNOW,DARK - LIGHTED,EAST
20220002712,1/3/2022,FALSE,FALSE,FALSE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DARK - LIGHTED,MADISO
20220002737,1/3/2022,TRUE,FALSE,FALSE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DARK - LIGHTED,SOUTH
20220002781,1/3/2022,TRUE,FALSE,FALSE,FALSE,SIDESWIPE - SAME DIRECTION,SNOW,DARK - NOT LIGHTED,WEST
20220002787,1/3/2022,FALSE,FALSE,FALSE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,SNOW,DAYLIGHT,WEST
20220002790,1/3/2022,TRUE,FALSE,FALSE,FALSE,ANGLE,CLOUDY,DAYLIGHT,HERMIT
20220002794,1/3/2022,TRUE,FALSE,FALSE,FALSE,ANGLE,CLEAR,DAYLIGHT,SOUTH
20220002801,1/3/2022,FALSE,FALSE,FALSE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,SNOW,DAYLIGHT,WEST
20220002804,1/3/2022,FALSE,FALSE,FALSE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,BLOWING SNOW,DARK - LIGHTED,SOUTH
20220002858,1/3/2022,FALSE,FALSE,TRUE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DAYLIGHT,SOUTH
20220002901,1/3/2022,TRUE,FALSE,TRUE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DAYLIGHT,EAST
20220002903,1/3/2022,FALSE,FALSE,TRUE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,SNOW,DAYLIGHT,HERMIT
20220002909,1/3/2022,FALSE,FALSE,FALSE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,SNOW,DAYLIGHT,SOUTH
20220002915,1/3/2022,FALSE,FALSE,FALSE,FALSE,SIDESWIPE - SAME DIRECTION,CLEAR,DAYLIGHT,MADISO
20220002926,1/3/2022,TRUE,FALSE,FALSE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DAYLIGHT,NORTH
20220002950,1/3/2022,TRUE,FALSE,FALSE,FALSE,ANGLE,CLEAR,DAYLIGHT,SOUTH
20220002963,1/3/2022,FALSE,FALSE,FALSE,FALSE,Front to Rear,CLEAR,DAYLIGHT,MIDTOW
20220002968,1/3/2022,FALSE,FALSE,FALSE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,BLOWING SNOW,DAYLIGHT,SOUTH
20220002981,1/3/2022,FALSE,FALSE,FALSE,FALSE,ANGLE,SNOW,DAYLIGHT,SOUTH
20220002985,1/3/2022,FALSE,FALSE,TRUE,FALSE,Front to Rear,CLEAR,DAYLIGHT,MIDTOW
20220002995,1/3/2022,FALSE,FALSE,FALSE,TRUE,SIDESWIPE - SAME DIRECTION,CLEAR,DAYLIGHT,EAST
20220002997,1/3/2022,FALSE,FALSE,FALSE,FALSE,ANGLE,CLEAR,DAYLIGHT,MIDTOW
20220003037,1/3/2022,FALSE,FALSE,FALSE,FALSE,SIDESWIPE - SAME DIRECTION,CLEAR,DAYLIGHT,SOUTH
20220003049,1/3/2022,TRUE,FALSE,FALSE,FALSE,SIDESWIPE - SAME DIRECTION,CLOUDY,DAYLIGHT,SOUTH
20220003082,1/3/2022,FALSE,FALSE,FALSE,FALSE,Front to Rear,CLEAR,DAYLIGHT,MADISO
20220003095,1/3/2022,TRUE,FALSE,FALSE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DAYLIGHT,MIDTOW
20220003127,1/3/2022,FALSE,FALSE,FALSE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DAYLIGHT,MIDTOW
20220003144,1/3/2022,FALSE,FALSE,FALSE,FALSE,ANGLE,CLEAR,DAYLIGHT,CENTRA
20220003148,1/3/2022,FALSE,FALSE,FALSE,TRUE,SIDESWIPE - OPPOSITE DIRECTION,CLEAR,DAYLIGHT,HERMIT
20220003168,1/3/2022,TRUE,FALSE,FALSE,TRUE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DAYLIGHT,EAST
20220003170,1/3/2022,TRUE,FALSE,FALSE,FALSE,Front to Rear,CLOUDY,DAYLIGHT,NORTH
20220003171,1/3/2022,FALSE,FALSE,FALSE,FALSE,Front to Rear,CLOUDY,DAYLIGHT,NORTH
20220003198,1/3/2022,FALSE,FALSE,FALSE,TRUE,SIDESWIPE - SAME DIRECTION,CLEAR,DAYLIGHT,HERMIT
20220003268,1/3/2022,FALSE,FALSE,FALSE,FALSE,Front to Rear,CLEAR,DAYLIGHT,SOUTH
20220003280,1/3/2022,FALSE,FALSE,FALSE,FALSE,Front to Rear,CLEAR,DAYLIGHT,SOUTH
20220003300,1/3/2022,FALSE,FALSE,FALSE,FALSE,Front to Rear,CLEAR,DAYLIGHT,HERMIT
20220003349,1/3/2022,TRUE,FALSE,FALSE,FALSE,Front to Rear,CLEAR,DAYLIGHT,HERMIT
20220003361,1/3/2022,TRUE,FALSE,FALSE,FALSE,Front to Rear,CLEAR,DAYLIGHT,MADISO
20220003368,1/3/2022,TRUE,FALSE,FALSE,FALSE,ANGLE,CLEAR,DAYLIGHT,EAST
20220003405,1/3/2022,FALSE,FALSE,FALSE,TRUE,ANGLE,CLEAR,DAYLIGHT,SOUTH
20220003410,1/2/2022,TRUE,FALSE,FALSE,FALSE,Front to Rear,CLEAR,DAYLIGHT,CENTRA
20220003427,1/3/2022,TRUE,FALSE,FALSE,FALSE,ANGLE,CLEAR,DAYLIGHT,MIDTOW
20220003451,1/3/2022,FALSE,FALSE,FALSE,FALSE,Front to Rear,CLEAR,DAYLIGHT,SOUTH
20220003463,1/3/2022,TRUE,FALSE,FALSE,FALSE,ANGLE,CLEAR,DAYLIGHT,HERMIT
20220003542,1/3/2022,FALSE,FALSE,FALSE,FALSE,ANGLE,CLEAR,DAYLIGHT,WEST
20220003586,1/3/2022,TRUE,FALSE,FALSE,FALSE,ANGLE,CLEAR,DARK - NOT LIGHTED,SOUTH
20220003611,1/3/2022,TRUE,FALSE,FALSE,FALSE,Front to Rear,CLEAR,DARK - LIGHTED,EAST
20220003613,1/3/2022,FALSE,FALSE,FALSE,TRUE,Front to Rear,CLOUDY,DARK - LIGHTED,SOUTH
20220003658,1/3/2022,FALSE,FALSE,FALSE,FALSE,SIDESWIPE - SAME DIRECTION,CLEAR,DARK - LIGHTED,EAST
20220003667,1/3/2022,TRUE,FALSE,FALSE,FALSE,ANGLE,CLEAR,DARK - LIGHTED,SOUTH
20220003833,1/3/2022,FALSE,FALSE,FALSE,TRUE,Front to Rear,CLEAR,DARK - LIGHTED,MADISO
20220003847,1/3/2022,TRUE,FALSE,FALSE,FALSE,Front to Rear,CLEAR,DARK - LIGHTED,SOUTH
20220003912,1/3/2022,FALSE,FALSE,FALSE,TRUE,Front to Rear,CLEAR,DARK - LIGHTED,MIDTOW
20220003927,1/3/2022,TRUE,FALSE,FALSE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DARK - NOT LIGHTED,HERMIT
20220003941,1/3/2022,FALSE,FALSE,FALSE,FALSE,Front to Rear,CLEAR,DARK - LIGHTED,CENTRA
20220004045,1/4/2022,FALSE,FALSE,TRUE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DARK - LIGHTED,MIDTOW
20220004259,1/4/2022,TRUE,FALSE,FALSE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,FOG,DAWN,MADISO
20220004282,1/4/2022,TRUE,FALSE,FALSE,FALSE,HEAD-ON,FOG,DAWN,WEST
20220004326,1/4/2022,TRUE,FALSE,FALSE,FALSE,Front to Rear,CLEAR,DAYLIGHT,MIDTOW
20220004399,1/4/2022,FALSE,FALSE,FALSE,FALSE,ANGLE,CLEAR,DAYLIGHT,NORTH
20220004424,1/4/2022,FALSE,FALSE,FALSE,FALSE,Front to Rear,CLEAR,DAYLIGHT,MADISO
20220004437,1/4/2022,FALSE,FALSE,FALSE,FALSE,ANGLE,CLEAR,DAYLIGHT,MIDTOW
20220004495,1/4/2022,FALSE,FALSE,FALSE,FALSE,SIDESWIPE - SAME DIRECTION,CLEAR,DAYLIGHT,CENTRA
20220004536,1/4/2022,TRUE,FALSE,FALSE,FALSE,HEAD-ON,CLEAR,DAYLIGHT,MIDTOW
20220004567,1/4/2022,FALSE,FALSE,FALSE,TRUE,SIDESWIPE - OPPOSITE DIRECTION,CLEAR,DAYLIGHT,MIDTOW
20220004576,1/4/2022,TRUE,FALSE,TRUE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DAYLIGHT,EAST
20220004635,1/4/2022,FALSE,FALSE,FALSE,FALSE,ANGLE,CLEAR,DAYLIGHT,CENTRA
20220004666,1/4/2022,TRUE,FALSE,FALSE,FALSE,ANGLE,CLEAR,DAYLIGHT,CENTRA
20220004683,1/4/2022,FALSE,FALSE,FALSE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DAYLIGHT,WEST
20220004688,1/4/2022,TRUE,FALSE,FALSE,FALSE,ANGLE,CLEAR,DAYLIGHT,CENTRA
20220004834,1/4/2022,FALSE,FALSE,FALSE,FALSE,REAR-TO-REAR,CLEAR,DAYLIGHT,HERMIT
20220004865,1/4/2022,TRUE,FALSE,FALSE,FALSE,Front to Rear,CLEAR,DAYLIGHT,EAST
20220004878,1/4/2022,FALSE,FALSE,FALSE,FALSE,ANGLE,CLEAR,DAYLIGHT,CENTRA
20220004932,1/4/2022,TRUE,FALSE,TRUE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DAYLIGHT,NORTH
20220004969,1/4/2022,TRUE,FALSE,FALSE,TRUE,ANGLE,CLEAR,DAYLIGHT,HERMIT
20220005027,1/4/2022,TRUE,FALSE,FALSE,FALSE,Front to Rear,CLEAR,DUSK,EAST
20220005033,1/4/2022,FALSE,FALSE,FALSE,FALSE,ANGLE,CLEAR,DAYLIGHT,WEST
20220005173,1/4/2022,FALSE,FALSE,FALSE,FALSE,Front to Rear,CLEAR,DARK - LIGHTED,EAST
20220005176,1/4/2022,TRUE,FALSE,FALSE,FALSE,Front to Rear,CLEAR,DARK - LIGHTED,SOUTH
20220005195,1/4/2022,FALSE,FALSE,FALSE,FALSE,SIDESWIPE - SAME DIRECTION,CLEAR,DARK - LIGHTED,MIDTOW
20220005231,1/4/2022,FALSE,FALSE,FALSE,FALSE,Front to Rear,CLEAR,DARK - NOT LIGHTED,NORTH
20220005244,1/4/2022,TRUE,FALSE,TRUE,FALSE,ANGLE,CLEAR,DARK - LIGHTED,SOUTH
20220005261,1/4/2022,TRUE,FALSE,TRUE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DARK - LIGHTED,SOUTH
20220005306,1/4/2022,FALSE,FALSE,FALSE,FALSE,ANGLE,CLEAR,DARK - LIGHTED,SOUTH
20220005319,1/4/2022,FALSE,FALSE,FALSE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DARK - LIGHTED,NORTH
20220005325,1/4/2022,FALSE,FALSE,FALSE,FALSE,Front to Rear,CLEAR,DARK - LIGHTED,EAST
20220005360,1/4/2022,FALSE,FALSE,FALSE,FALSE,Front to Rear,CLEAR,DARK - LIGHTED,MADISO
20220005375,1/4/2022,TRUE,FALSE,FALSE,FALSE,Front to Rear,CLEAR,DARK - NOT LIGHTED,HERMIT
20220005434,1/4/2022,FALSE,FALSE,FALSE,TRUE,SIDESWIPE - SAME DIRECTION,CLEAR,DARK - LIGHTED,HERMIT
20220005449,1/4/2022,FALSE,FALSE,FALSE,TRUE,Front to Rear,CLEAR,DARK - NOT LIGHTED,HERMIT
20220005501,1/4/2022,FALSE,FALSE,FALSE,TRUE,SIDESWIPE - SAME DIRECTION,CLEAR,DARK - LIGHTED,MADISO
20220005519,1/5/2022,TRUE,FALSE,TRUE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DARK - LIGHTED,SOUTH
20220005761,1/5/2022,TRUE,FALSE,FALSE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DARK - LIGHTED,SOUTH
20220005814,1/5/2022,FALSE,FALSE,FALSE,FALSE,Front to Rear,CLEAR,DAYLIGHT,NORTH
20220005880,1/5/2022,TRUE,FALSE,FALSE,FALSE,ANGLE,CLEAR,DAYLIGHT,NORTH
20220005881,1/5/2022,TRUE,FALSE,FALSE,FALSE,Front to Rear,CLEAR,DAYLIGHT,SOUTH
20220005915,1/5/2022,FALSE,FALSE,FALSE,FALSE,SIDESWIPE - SAME DIRECTION,CLEAR,DAYLIGHT,SOUTH
20220006084,1/5/2022,TRUE,FALSE,FALSE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DAYLIGHT,NORTH
20220006123,1/5/2022,FALSE,FALSE,FALSE,FALSE,Front to Rear,CLEAR,DAYLIGHT,EAST
20220006153,1/5/2022,FALSE,FALSE,FALSE,FALSE,ANGLE,CLOUDY,DAYLIGHT,SOUTH
20220006195,1/5/2022,TRUE,FALSE,FALSE,FALSE,ANGLE,CLEAR,DAYLIGHT,MADISO
20220006196,1/5/2022,FALSE,FALSE,TRUE,TRUE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DAYLIGHT,WEST
20220006227,1/5/2022,TRUE,FALSE,FALSE,FALSE,ANGLE,CLEAR,DAYLIGHT,MIDTOW
20220006242,1/5/2022,FALSE,FALSE,FALSE,TRUE,Front to Rear,CLEAR,DAYLIGHT,SOUTH
